window,RB_MBS_1_U,RB_MBS_1_E,RB_MBS_1_M,P_MBS_1_U,P_MBS_1_E,P_MBS_1_M,RB_SBS_1_U,RB_SBS_1_E,RB_SBS_1_M,P_SBS_1_U,P_SBS_1_E,P_SBS_1_M,RB_SBS_2_U,RB_SBS_2_E,RB_SBS_2_M,P_SBS_2_U,P_SBS_2_E,P_SBS_2_M,RB_SBS_3_U,RB_SBS_3_E,RB_SBS_3_M,P_SBS_3_U,P_SBS_3_E,P_SBS_3_M,sum_U,sum_E,sum_M,objective,energy_J,cum_energy_J
0,0,0,100,23.87,27.09,25.05,10,10,30,14.92,10.00,10.00,30,0,20,15.97,10.00,10.00,0,10,40,10.00,10.00,10.00,54.248300,1.503017,40.000000,95.751317,19.675276,19.675276
1,0,0,100,27.82,21.12,17.59,0,0,50,21.78,10.00,10.00,30,0,20,17.93,10.00,10.00,0,0,50,10.00,10.00,10.00,35.108973,0.000000,37.025000,72.133973,18.098078,37.773354
2,0,0,100,27.94,24.47,25.57,0,0,50,18.66,10.00,10.00,30,0,20,19.66,10.00,10.00,0,0,50,10.00,10.00,10.00,3.344393,0.000000,37.025000,40.369393,18.124192,55.897546
3,0,0,100,29.10,25.55,26.99,0,0,50,17.80,10.00,10.00,20,0,30,17.04,10.00,10.00,0,0,50,10.00,10.00,10.00,52.881760,0.000000,40.000000,92.881760,18.254551,74.152098
4,0,0,100,23.78,20.48,32.03,0,0,50,10.00,10.00,10.00,30,0,20,20.70,10.00,10.00,0,0,50,10.00,10.00,10.00,24.742454,0.000000,37.025000,61.767454,17.968502,92.120599
5,0,0,100,25.22,30.83,18.23,0,0,50,10.00,10.00,10.00,30,0,20,24.64,10.00,10.00,0,0,50,10.00,10.00,10.00,46.514712,0.000000,37.025000,83.539712,18.102800,110.223399
6,0,0,100,26.76,25.58,23.24,0,10,40,10.00,10.00,10.00,30,10,10,19.52,10.00,10.00,0,10,40,10.00,10.00,10.00,47.893805,-42.000000,7.600000,13.493805,19.478648,129.702047
7,0,0,100,21.03,24.92,34.73,0,0,50,10.00,10.00,10.00,30,0,20,18.70,10.00,10.00,0,0,50,10.00,10.00,10.00,36.742243,0.000000,-33.100000,3.642243,18.086827,147.788874
8,0,0,100,26.59,24.44,25.01,0,0,50,10.00,10.00,10.00,30,0,20,20.67,10.00,10.00,0,0,50,10.00,10.00,10.00,28.467050,0.000000,-40.000000,-11.532950,17.842936,165.631809
9,0,0,100,29.18,31.50,35.90,0,0,50,10.00,10.00,10.00,30,0,20,20.34,10.00,10.00,0,0,50,10.00,10.00,10.00,16.548743,0.000000,-40.000000,-23.451257,18.051633,183.683442
